Angle[deg]	<y>[m]
0	7.29551E-05
1	6.68455E-05
2	6.06425E-05
3	5.42534E-05
4	4.76419E-05
5	4.08516E-05
6	3.39534E-05
7	2.69938E-05
8	1.99866E-05
9	1.29367E-05
10	5.8604E-06
11	-0.000001208
12	-8.2262E-06
13	-0.00001516
14	-0.000021999
15	-2.87512E-05
16	-3.54219E-05
17	-4.19979E-05
18	-0.000048464
19	-5.48352E-05
20	-6.11594E-05
21	-6.75147E-05
22	-7.39898E-05
23	-0.000080632
24	-8.74362E-05
25	-9.43231E-05
26	-0.000101149
27	-0.000107762
28	-0.000114065
29	-0.00012007
30	-0.000125845
31	-0.000131434
32	-0.000136856
33	-0.000142126
34	-0.000147272
35	-0.000152322
36	-0.000157282
37	-0.000162132
38	-0.000166868
39	-0.000171482
40	-0.000175932
41	-0.00018019
42	-0.000184275
43	-0.000188223
44	-0.000192062
45	-0.000195804
46	-0.000199446
47	-0.000202994
48	-0.000206459
49	-0.000209846
50	-0.000213154
51	-0.000216385
52	-0.000219553
53	-0.000222667
54	-0.000225725
55	-0.00022871
56	-0.000231603
57	-0.000234392
58	-0.000237081
59	-0.000239681
60	-0.000242209
61	-0.000244687
62	-0.00024713
63	-0.000249541
64	-0.000251899
65	-0.000254166
66	-0.000256306
67	-0.000258298
68	-0.000260132
69	-0.000261801
70	-0.000263296
71	-0.000264641
72	-0.000265892
73	-0.000267113
74	-0.000268357
75	-0.000269648
76	-0.000270993
77	-0.00027238
78	-0.000273801
79	-0.000275256
80	-0.000276742
81	-0.000278221
82	-0.000279615
83	-0.000280847
84	-0.000281872
85	-0.000282692
86	-0.000283335
87	-0.000283833
88	-0.000284205
89	-0.000284456
90	-0.000284587
91	-0.000284591
92	-0.000284467
93	-0.000284214
94	-0.000283812
95	-0.000283219
96	-0.000282394
97	-0.000281307
98	-0.000279954
99	-0.00027834
100	-0.000276485
101	-0.000274424
102	-0.000272203
103	-0.000269865
104	-0.000267447
105	-0.000264971
106	-0.000262422
107	-0.000259764
108	-0.00025695
109	-0.000253943
110	-0.000250735
111	-0.00024731
112	-0.000243645
113	-0.000239724
114	-0.000235558
115	-0.000231175
116	-0.000226604
117	-0.000221862
118	-0.000216956
119	-0.000211907
120	-0.000206749
121	-0.000201506
122	-0.000196174
123	-0.000190739
124	-0.000185183
125	-0.000179494
126	-0.000173675
127	-0.000167739
128	-0.000161687
129	-0.000155491
130	-0.000149148
131	-0.000142678
132	-0.00013613
133	-0.000129593
134	-0.000123149
135	-0.000116848
136	-0.000110714
137	-0.000104767
138	-9.90175E-05
139	-9.34551E-05
140	-8.80423E-05
141	-8.27296E-05
142	-7.74709E-05
143	-7.22374E-05
144	-6.70306E-05
145	-6.18803E-05
146	-5.68302E-05
147	-5.19202E-05
148	-4.71736E-05
149	-4.25895E-05
150	-3.81537E-05
151	-3.38604E-05
152	-2.97196E-05
153	-2.57518E-05
154	-2.19801E-05
155	-1.84268E-05
156	-1.51188E-05
157	-1.20879E-05
158	-9.3619E-06
159	-6.9535E-06
160	-4.8514E-06
161	-3.0198E-06
162	-1.4031E-06
163	6.42E-08
164	1.4484E-06
165	2.8113E-06
166	4.2092E-06
167	5.6925E-06
168	7.3039E-06
169	0.000009073
170	1.10071E-05
171	1.30825E-05
172	1.52505E-05
173	1.74609E-05
174	1.96816E-05
175	0.000021901
176	2.41145E-05
177	0.00002631
178	2.84718E-05
179	3.05992E-05
180	3.27186E-05
181	0.000034883
182	0.00003716
183	3.96065E-05
184	4.22455E-05
185	4.50579E-05
186	4.79989E-05
187	5.10134E-05
188	5.40508E-05
189	0.00005708
190	6.00914E-05
191	6.30977E-05
192	6.61254E-05
193	6.91921E-05
194	0.000072283
195	7.53524E-05
196	7.83442E-05
197	8.12227E-05
198	8.39666E-05
199	8.65541E-05
200	8.89635E-05
201	9.11866E-05
202	9.32382E-05
203	9.51533E-05
204	9.69812E-05
205	0.000098769
206	0.000100535
207	0.000102255
208	0.000103877
209	0.000105365
210	0.000106715
211	0.000107952
212	0.000109116
213	0.000110238
214	0.000111329
215	0.000112379
216	0.000113369
217	0.000114289
218	0.000115141
219	0.000115928
220	0.00011666
221	0.000117358
222	0.000118047
223	0.000118737
224	0.000119409
225	0.000120025
226	0.000120535
227	0.000120912
228	0.000121138
229	0.000121195
230	0.000121058
231	0.000120728
232	0.00012023
233	0.000119616
234	0.000118938
235	0.000118248
236	0.00011758
237	0.000116946
238	0.000116346
239	0.000115792
240	0.000115321
241	0.000115003
242	0.000114923
243	0.000115151
244	0.000115712
245	0.000116585
246	0.000117727
247	0.000119093
248	0.000120637
249	0.000122301
250	0.000124015
251	0.000125724
252	0.000127379
253	0.000128919
254	0.000130299
255	0.000131525
256	0.000132628
257	0.000133641
258	0.000134597
259	0.000135534
260	0.000136477
261	0.000137433
262	0.000138404
263	0.00013939
264	0.000140404
265	0.000141468
266	0.00014261
267	0.000143854
268	0.000145215
269	0.000146688
270	0.000148258
271	0.000149895
272	0.000151569
273	0.000153258
274	0.000154945
275	0.000156617
276	0.000158264
277	0.000159878
278	0.000161456
279	0.000163018
280	0.000164589
281	0.000166189
282	0.000167824
283	0.000169486
284	0.000171164
285	0.00017285
286	0.000174526
287	0.000176178
288	0.000177798
289	0.000179388
290	0.000180974
291	0.000182577
292	0.000184219
293	0.000185926
294	0.000187736
295	0.000189702
296	0.000191887
297	0.000194356
298	0.00019714
299	0.000200217
300	0.000203512
301	0.000206934
302	0.000210405
303	0.000213862
304	0.000217258
305	0.000220564
306	0.000223769
307	0.000226876
308	0.000229885
309	0.000232773
310	0.000235504
311	0.000238062
312	0.000240448
313	0.00024267
314	0.000244733
315	0.000246628
316	0.000248336
317	0.000249852
318	0.000251178
319	0.000252313
320	0.000253234
321	0.000253886
322	0.000254197
323	0.000254111
324	0.00025361
325	0.000252716
